text,label
the stick in his mouth the whole time irritates me more than it should, VID01
This was the most stupidest challenge. Judges are criticizing a piece of flesh that reheals itself constantly so of course the tattoo won't stay  and criticizing the tattoo artist for something that was the canvases fault.  don't blame the artist for something out of there control, VID01
THAT LION FISH WAS TRASH LOLOLOL, VID01
Hell nah, VID01
i thought he was going to say ribs-, VID01
The editing of the show is hilarious 6:39 bam boom click FLASH *whirls around to face the speaker, VID01
The toothpick in the gob is NOT sexy., VID01
how are you going to blame the artist when the canvas is so dumb?, VID01
Stressing me out, VID01
I died of laughing when they cut to the guy immediately said 'hell no!!', VID01
I met. A woman who had her palm her knuckles and the pads of her fingertips tatted. Oh my God. It was messed up., VID01
What's type of paper he's using at min 238?, VID01
If the professional tells you colour is not possible  it is not possible! If the doctor tells you  you need to take the red pill you don't take the vlue -_-, VID01
Tattoos are satans way of making people a property of there own self worship, VID01
This was a dumb challenge . They were all set up to fail. Not good tv, VID01
Why would a person do this to themselves?  any other body parts exist but why palm?, VID01
Stupid canvaces... palm!!!!, VID01
3d crystal ball' 'Hell nah', VID01
Hell nah, VID01
I didn't know that was Kevin from when he was on black ink crew, VID01
This is literally chopped but with tats, VID01
feminist girl detected, VID01
I didn't know that was Dave HEY DAVE, VID01
Thank god it's not aged for a long time, VID01
I love Kelly's one the most.., VID01
Ryan ashley  step on me, VID01
They can tell us till the cows come home that they won't last but I really wish they would show them 6 months healed, VID01
I perfer a permanent marker  back in high school kids would pay me cause I was a true artist, VID01
WE DIDN'T EVEN GET TO SEE WHO WON I'M-, VID01
Tbh this episode scared me and gave me anxiety either you end up traumatizing the skin or do it so the tat doesn't hold and once i heard that i said nope nope and nope, VID01
This looks really painful  the tattoo artist are telling you this is a bad idea why would you still want your Palm to be tattooed, VID01
So who won?, VID01
If only stupidity hurt- oh wait., VID01
Its not there fault those dumbasses wanted colour, VID01
Canvases: I want a heart done. Tattooist: yeah Kelly's gonna have to talk her out of it., VID01
That yeti tattoo is so cute! I would want that on any other part of my body except the palm, VID01
3:24 what did yellow shirt dude say, VID01
The black dude made me laugh hell nah But the girl in the red man she look sexy, VID01
I would love to see what these tattoos look like now, VID01
I have tattoos pretty much all over my body and I would never ever do the palm....first off the ink is never going to hold correctly so What's the point of going through all that pain for a tattoo that will look awful after a year?, VID01
The judges are horrible tattooers I went on their page, VID01
It seems inconclusive to say the artist is good or bad when the canvases refuses to take the advice given to them., VID01
Have none of these dumdums ever looked at what a palm tattoo looks like after a while before they decided to do it?, VID01
I wonder if boneface and sketchy lawyer know how stupid their names make them look, VID01
Where can i stream full episodes for free?, VID01
Inkmaster is irl total drama island, VID01
Once you watch one of these you can't stop, VID01
Hell nawl!, VID01
0:43 Valerio wants to know your location, VID01
Took me 5 years to watch this.. why didn't I watch this then, VID01
That would be hilarious is one of the clients smoked while getting tattooed., VID02
That wolf had to have won it. That thing was sick!, VID02
I understand that guys shooting pain on his knee. Had flashbacks to my own cover-up., VID02
If I had to pay for a ratio and the artist would have such attitude... Only that blue hair girl was respectful. I felt sad hearing the judges., VID02
Bad idea for an elimination challenge, VID02
get chris showstoppr on the show please :D, VID02
its good to consult with a tattoo artist before doing any work so u know they got your best interest at heart  not some rubbish they want to draw on you.., VID02
I actually just recently got my old self harm scars over my left arm covered up with a tattoo. I have some more tattoos but to get ink in scars hurts like hell. Im not bad with pain tollerance bt this tattoo almost killed me. But now I love it more than anything. And I think it personally means so much when you get memories covered up with something so beautiful., VID02
yep quitting cigs tomorrow, VID02
Damn  give to the guy the tree of life that he wanted, VID02
I do love when amputee's use that in their tattoo designs  I really like those with a little humor in them. Turning something life changing into art  or comedy is the best way to overcome things. I covered up my old cutting scars with a morning glory to represent the promise to my mother never to do it again. (hanakotoba morning glories represent a willful promise), VID02
Not all of them were being jerks it was nikki Kevin  sketchylawyer  and tito. Kelly and mustache man were nice, VID02
i love kelly!, VID02
The guy who wanted a tree of life that actually meant something made me really sad when the artist took what he wanted and made it some dragon instead, VID02
I want to be tattooed by Kelly so badly!, VID02
That was amazing. I think that's the first time I watched something on you tube and it actually made me tear up., VID02
Sorry but I have questions. Like why are you timing something that will be on another person's body forever, VID02
That Dragon the chick did was horrriddd lol, VID02
Some of them are really disrespectful to the canvases maybe they need to eliminate them if they have bad attitude, VID02
gian should've won this season smh, VID02
