sentiment,review
p,"“She was also in the ICU and at first I thought she was a hard ass, but then realized she cares about all of her patients, love her! ”"
p,"First of all, I can't WAIT to see my bill!  :(
Second, my husband had a heart attack. Very very scary day for us!! They calmed us down SO much. The cardiac Dr, Dr Coven, cardiac surgeon, Dr Patel, and all the Staff, and I have to say, Rhonda and a VERY NY nurse, (CAN NOT REMEMBER HER NAME!! ) She was also in the ICU and at first I thought she was a hard ass, but then realized she cares about all of her patients, love her! 
Anyway, everyone, from the head Drs, to the nurses, to the Diabetic team, to the people, who serve the food (ugh sorry :)) and the mane who cleaned the room, were great!  I work in a restaurant and I TOTALLY APPRECIATE "" customer service"" even if it's in a hospital. 
Damn, I wish I knew Nurse Rachett's name (no offense, I LOVE HER!!) that was my first impression. My husband was sort of a pain. Lol
Can't say enough good things about this hospital. Been to others in Manhattan, but this is the best. 
(Like I said, can't wait for my bill.... Ugh.. Lol)"
p,I love the ER here. I had to go here twice due to bleeding emergencies as I'm anemic and have a weird liver issue but it was a great experience in the ER and later ICU. I have surgery here in a few days and am excited.
p,"I love This Hospital.
Both my children were born here when it was still a Private hospital.
I also came here in 1993 with a severe 3 day migraine headache that they treated.
And I was hospitalized in 2002 for 5 days when I had severe cellulites.
I had Excellent professional care and I felt safe and in capable hands by all staff.
They also have the best Nic U in  the country!
when my son was born 18 years ago there were complications and he had the best and upmost care at Lenox Hill.
I had a private room and I told my doctor I would not leave without my baby, no problem!
I stayed there for a week with my husband and was permitted in the ICU any time.
Lenix Hill gives excellent care all around.
I am a vegetarian and they were very good in any dietary needs for me.
when my second daughter was born residents wanted to come in during the birth and I said absolutely not!
I wanted to just have my doctor, nurse and my husband and they were very respecting my wishes.
I am a vegetarian and their food was excellent everything had nutrition and well balanced.
the hospital is very clean and the staff are very respectful.
This is the hospital I would recommend  to anyone needing any kind of medical care or giving birth."
n,"Our daughter was here for about three weeks and some of the time in ICU.
ICU is very quiet and professional but the regular rooms on the other side are a joke.
Very seldom cleaned right with medical trash under beds and on floor.  They never clean the restrooms and empty the trash when it needs it.
The BIGGEST problem is with the RN;s and the LPN's and the helpers in that they are on their phones all of the time and laughing and joking around and not doing their jobs when the patient needs help they pretty much blow them off.
It got so bad for us that we had my brother in law who is a general practice MD call the floor and ask them just 'what in the hell is going on up there'?.
Our daughter survived this ordeal by the grace of God and her wonderful Dr's but the nursing staff is in complete disarray at best.
Pathetic thing is that after I complained to the head of nursing 'she did NOTHING about it'.
Go figure."
p,"I refuse to go to any other hospital! The care provided by entire team here (ER, ICU, Step down, and Main Room) is STELLAR!! That's from the very kind housekeeper, the nursing assistant, nursing manager, RNs on day and night shift, and extremely competent and professional doctors. Thank you for making a scary experience relaxed! Thank you for caring about your patients and making sure we understand what's going on in our situation. I never felt like I wasn't informed. Also the physical therapy team was amazing!! You guys understand what patient care is all about! 

And they went ahead and scheduled my follow on appointment so it's one less thing I have to worry about!"
p,"My aunt ended up here. Even though the situation that found herself here was anything less then desirable (attempted suicide), the doctors did a good job trying to mend her.

Life Lesson: Always take care of yourself and your body.

Anyway, I worked for a number of years as a neurophysiologist clinician at UPMC while I was doing my M.S. in Neuroscience. I have developed an unusual knack for determining how thorough the doctors all.

The doctors at Lenox Hill were great. They did every test possible to make sure all their bases were covered and that the right treatment was provided. The attending physicians were also very nice and compassionate.

My aunt is still in the ICU and may not get out for a while. I do know that she will be in good hands when she is there. I would not hesitate to come here myself, although I would seek specialty treatment elsewhere. However, this hospital is good for basic services and according to the other reviews, ob/gyn.  Even though the hospital is a bit small, the doctors are at the top of their game."
p,"Went in for a minor issue. Absolutely no wait time. Place was extremely clean. The staff were very friendly and helpful. The medical staff were very professional and friendly as well, and I was out of there in very little time. Will definitely return when needed."
p,"This is the closest urgent care around my home. Since theyve opened i prefer going to them rather than the ER becos the wait is horrendous there. Here, u get seen quicker, no long wait, staff is always friendly and the drs are knowledgeable and very thorough. And the space is clean.

They also call u after a day or two to check up on u and see how ure feeling. My reg dr dont even do that ! Five stars!"
n,My husband called for he had a sprained ankle. The receptionist lady was very rude on the phone! My husband is french but his English is quite good! If it wasn't on the time emergency we would've definitely  looked elsewhere ! Being polite doesn't hurt!
n,"Absolutely the worst healthcare facility (if you can call it that) that I've been to.
The physician wasn't qualified to give to diagnose anything.  Steer clear of this place.  Wait for your pcp to be available, do not waste your money going to urgent care; especially this place.  These are not qualified professionals."
n,Dr Hillel is not a real Dr ! Be careful he does not know how to diagnose . And arrogant .
n,"Fever? Weakness? Body aches? Breathing problems? You most probably have the flu. I just saved you 2 hours of your life. These people will not give you antibiotics for those symptoms. No matter what you say. No z pack nothing. Just tea. 

After 2 hours of basically waiting around (30 min in the waiting room and 1.5h in the examination room) they will tell you to go home and drink liquids, sleep, don't leave the house till you're better no matter how long it takes, and oh yes wash your sheets and clothes several times. 
Oh yea and uh if anything changes or gets worse come to the office and wait around again for 2 hours. 

$225 gets you one appointment. And 2 follow ups. But who wants to go back and sit on that line. Better than the hospital, yes... But just as sucky if u end up waiting for hours. 

Doctors now are just not giving medicine for the flu anymore. They refuse to contribute to the crazy mutation of the flu virus. Every time a doctor or your friend gives you some antibiotics when you don't necessarily need it, these flu viruses learn how to get stronger and stronger, and are in effect less cureable the next time around, this is what happens in hospital settings, where people get reinfected over and over again by these viral infections and the medications no longer work. Anyway they don't give meds for the flu anymore. You will need to look elsewhere. 
3 stars bc it's a super clean and modern office, the receptionist is amazingly sweet, and I'm glad these places at least exist as an alternative to sitting in emergency rooms for those who are uninsured."
n,"There is no way I could recommend this facility to anyone.  I went there after 9 last night after being in a small motorcycle accident earlier that evening.  I will say the 3 girls at the front desk were sweet and friendly.  The facility was clean and I was immediately called into an examination room.  One of the girls at the front desk was also the x-ray technician and was very sweet and nice.  Everything else was a disgrace.  The aid, or nurse, I'm not sure exactly what her title was, was nice but had no knowledge of how to spell many common drugs or what they were prescribed for.  She did not seem to have much knowledge of medical terminology and when she went to dress a wound for me she was fumbling.  Instead of setting everything she needed neatly and within reach, she had to ask my boyfriend to give her the tape, while I held the bandage in place as she went to get the scissor.  But by far the most upsetting thing about this experience was the PA who was there, Benjamin Hillel.  He came into the examination room and immediately came off as arrogant, condescending and dismissive towards what I was telling him was my injury.  I'm sure a lot had to due with the fact that I'm a woman.  I came there with excruciating pain in the ball of my foot under my left big toe.  I told him I was sure I had a hairline fracture of one of my sesmoid bones.  He touched my toe for a quick second, moved it upward a tiny bit, which resulted in significant pain and then proceeded to tell me there was nothing wrong with my toe and he was more concerned with my left ankle.  Had he bothered to actually read over the history the woman had just typed in he would have seen that as a teenage I severed the joint between my left tibia/fibula and the upper bone of my heel, so I severed my foot under the ankle while the skin remained in tact and had a tendon transplant between the bones to reattach then to each other, thus the shape of my ankle.  Sent me for X-rays.  Technician immediately started taking films of my ankle (which I repeatedly told the PA wasn't injured) and then took some of my toes.  Now I am a grown woman.  I think I would know what part of my body was injured.  But no, this PA apparently knew where my pain was better than I did (dismissive, arrogant and condescending).  Take a step back and let me inform you that I am a physical therapist.  The films of my left toe did not show a clear fracture.  This is typical.  Unless the bone is actually separated the only real way to know it's fractured is through medical history which describes how the injury occurred, waiting at least a week or 2 to see if there is evidence of bone regenerating on the x-ray, which still may not be evident, a bone scan and finally an MRI which would be the most conclusive.  Mr. Hillel cane back to my room.  His demeanor was more relaxed and he told me nothing was wrong, didnt even probide me with a post-op boot that would stabilize my big toe so it wouldnt bend as i stepped and sent me on my way.  Despite my telling him repeatedly I couldn't put weight on my foot.  This morning I spent most of my day in the ER at Lenox Hill.  My toe, along with the front of my foot, at least 2 times the size it should be and a huge purple bruise right under where I feel the pain and you g up the inside of my toe.  Now I'm in a boot with crutches and non-weight bearing for probably the next 6 weeks.  I will NEVER step foot in this place again.  The medical care was a joke and the only reason I gave them 1 star is because you can't post a comment if you give no stars."
p,"I find this place to be extremely clean, kind and professional, they took care of my husband right away and the PA said he wanted to see him again on Sunday, my only problem here is that the follow up visit is just as much money as going the first time, they should give a discount or for free if they ask to see you again within a couple of days."
n,"I was unfortunate enough to have to visit the Quality First again. While the cleanliness of the facility hasn't changed since my original visit, the quality of care drastically did. 

The PA forgot to order a particular lab test we discussed during the consult. This resulted my PCP having to wait for the non-existent results for 2 days! These 2 days were spent in agony of pain and ignorance over my condition. 

Will I go back or recommend them? Take a guess!"
