id,comment_text
JdCmX-0j4Sk,"My thought is that it's the canvas who has to live with the tattoo or pay a lot of money to get it removed so it's well within their rights to get pissed if the tattoo artist screws up. Criticism might piss off the tattoo artist but at the end of the day, who does it affect more in the long term?"
JdCmX-0j4Sk,Dude the woman at 6:05
JdCmX-0j4Sk,"Here some tips for those who want tatoos that tatoo artist will appreciate 
1.sit still while tattooing if you have  hard time tell them it they will lisent but sadly tatoos hurt but if you want it to look good sit still even if it hurts 
2. Lisent to the tatoo arist they have great tips about details about  your tatoo amd body placement (but still get what you want ) domt let them change your mind completely 
3. Go to tatoo artist that does your style or the style you want dont go to some that only does realistic to ask a oldschool tatoo (you know what I mean bye that)"
JdCmX-0j4Sk,It's done well.
JdCmX-0j4Sk,"i remember the spikes one was in the first epsisode i ever watched, oh my goood so frustrating"
JdCmX-0j4Sk,Julia should learn something from Cleen when he had to tattoo that Victorian clown riding a rubber chicken carousel
JdCmX-0j4Sk,I had an issue with a majority of the canvas' except Julia's. That dude was being so patient and respectful and she was getting so triggered by his voice and ideas like that dude is her brother or something. That was the most disrespectful person I've ever seen on this show. Why did she even go and compete if her character is that rude with her clients ????
JdCmX-0j4Sk,he ruin the heart tattoo why put spikes on it thats not what she wanted see the end
JdCmX-0j4Sk,they should add a medical exam for the canvases before they get selected
JdCmX-0j4Sk,The very reason I don't work with the public. People are crazy.
JdCmX-0j4Sk,"That koi fish was honestly pretty nice, should have let the guy finish :/"
JdCmX-0j4Sk,Wow 1:55 why he say no like he's three man this dude is like rick James (never rubbed feet on his couch...3 seconds later ya I rememebr  rubbin my feet in his couch)44 he told dude we need to do black and grey he said that's fine..then 2:00 he says no wtf
JdCmX-0j4Sk,That chick just wanted to show off her tits
JdCmX-0j4Sk,That girl has personality disorder jeez
JdCmX-0j4Sk,Rookie tattoo artist
JdCmX-0j4Sk,Because I'm getting my first tattoo on the 28th for my 18th birthday I have been watching ink master a lot
JdCmX-0j4Sk,Id murder that litsa girl tbh
JdCmX-0j4Sk,"The first one I kinda understand the canvas's issue. That will be on her forever so she wants it perfect, and I can't blame her"
JdCmX-0j4Sk,That 1st woman acting like she a tattoo artist
JdCmX-0j4Sk,Red haired woman sounded drunk
JdCmX-0j4Sk,How did the coach just randomly offer for the guy to tattoo on him? A tattoo is a huge thing for me lol I'm paranoid about even getting a tiny shape on my ankle
JdCmX-0j4Sk,7:00 You liar
JdCmX-0j4Sk,"Canvas being picky??


Well yeah it's a tattoo..."
JdCmX-0j4Sk,"Mikes a dick Never Never piss off a human being with a Tat gun in their hand.  I visited this shop in Germany this dude pissed off the owner
 He got stabbed in the eye. I nearly puked"
JdCmX-0j4Sk,"Not ganna lie, last girl sounded retarded"
JdCmX-0j4Sk,That canvas was an a-hole...
JdCmX-0j4Sk,It's so scripted it hurts my brain.
JdCmX-0j4Sk,hm....telling someone to go f' themselves is a nature of the holy maker of heaven and earth.....Tornado's exist.
JdCmX-0j4Sk,yo! tf just respect your artist they're only trying to help you.
JdCmX-0j4Sk,At least this is helping me decide who I am not letting do my tattoos
JdCmX-0j4Sk,the the magenta one had a point tho
JdCmX-0j4Sk,"Like I understand if you dont like your tattoo but chill. Respectfully tell them what's wrong and compromise. Sometimes things aren't very easy and things cant be done. Then again at the same time the tattoo artist should also respectful to their client and understand issues and also compromise for the better of the client.

Sorry if my opinion is unpopular... it's just an opinion."
JdCmX-0j4Sk,I really am wondering as to which charm school these people attended ?
JdCmX-0j4Sk,All dem canvas needs some hard slap
JdCmX-0j4Sk,7:15 the face when karma bites back
JdCmX-0j4Sk,"lmfao bruh the way he said ""that's a water splashhh"" at 3:21 i lowkey felt bad for him"
JdCmX-0j4Sk,her name is litsa clearly she was gonna be crazy
JdCmX-0j4Sk,Man Anthony was the coolest cat to ever go on that show
JdCmX-0j4Sk,The last girl had to of been high or drunk. She was absolutely crazy
JdCmX-0j4Sk,I love that they gave Julia the opportunity to dig her own grave before revealing they saw everything lmao
JdCmX-0j4Sk,The girl with the koi fish needed a eye exam cuz that tattoo was beautiful and her boobs need to go down a few sizes.
JdCmX-0j4Sk,5:20.   Dude is huge
JdCmX-0j4Sk,3:08 just realized that's a pornstar lol
JdCmX-0j4Sk,lol
JdCmX-0j4Sk,Julia is crazy as hell
JdCmX-0j4Sk,Oooo I would have the worst attitude if I was a tattoo artist
JdCmX-0j4Sk,That first one is crazy. It's a free tattoo lol
JdCmX-0j4Sk,I'm way too shy to tell a artist I don't like a tattoo :*
JdCmX-0j4Sk,The lady with the Koi tattoo is a pornstar named Mary Jean.......for science reasons
JdCmX-0j4Sk,Thanks God I had a pretty good talented  Hungarian tattoo artist . .
