id,commentText
WW_gMf1B2sg,I'm crying and I don't even watch this show.
WW_gMf1B2sg,Hate the guy with stick in his mouth
WW_gMf1B2sg,I really wish they would have showed these tattoos. they were all so meaningful.
WW_gMf1B2sg,"Ok.....the parent of the soldier killed in action (aka murdered in action) who gave the dog tag to the tattooist.... The downs syndrome tattoos..... And the kids... I blubbed like hell..
Excellent work guys and gals..."
WW_gMf1B2sg,"Tom whats going on buddy 
Brave little kids awws my heart"
WW_gMf1B2sg,Awwww im sitting here trying not to cry
WW_gMf1B2sg,Damnit ...the last one got me ... damn ninja oninons
WW_gMf1B2sg,"In every challenge like this, the competitors are not competing, they are showing tattooing for humanity."
WW_gMf1B2sg,Is one of them tattooists in the Down syndrome segment now a snake keeper on YouTube
WW_gMf1B2sg,I thought the kids was gon get blasted
WW_gMf1B2sg,The first one. Well he didn’t like it. Lol
WW_gMf1B2sg,"Dave- ""Tom, what's going on bud?""
Tom- ""Brave little kids""
Me- here comes the waterworks for that whole part of the video!
I think I would end up being the guy that gets checked on emotionally on the show."
WW_gMf1B2sg,Damn. Tyler Nolan I didnt expect to be on here I liked him before but his speech about being around people with unconditional love was pretty amazing. Massive respect
WW_gMf1B2sg,"What episode is that last one I know what season ""Battle of The Shops """
WW_gMf1B2sg,I would be so nervous to do any of these tattoos! They are all so meaningful. I just wouldn't want to muck it up.
WW_gMf1B2sg,Tearjerker alert!!!! More please.
WW_gMf1B2sg,Great episode super accessible and touching
WW_gMf1B2sg,"11:50  SOMEONE HELP ME 

that song???"
WW_gMf1B2sg,I'm not crying you are....
WW_gMf1B2sg,"""I did chemo, so I can do this."" BADASS WOMAN RIGHT THERE!"
WW_gMf1B2sg,Props to those women for dealing with the pain so well!
WW_gMf1B2sg,I'm disappointed i couldn't see the rest of the tattoos cause you cut the edit too short my man. :(
WW_gMf1B2sg,"5:44 what made me cry, cuz it was beautiful! amazing art work!!! im so happy for her"
WW_gMf1B2sg,Oh gosh... this made me cry too.
WW_gMf1B2sg,"I love this video so fricken much. I loved here in each challenge when the artist said ""this is what it's really about"""
WW_gMf1B2sg,Everyone of these had me crying like a baby.  So glad that the artists did what they had to do to make the clients happy and not worry about the competition.
WW_gMf1B2sg,I really want a tattoo of paw prints for my dog with her ashes is it. People tell me I'm weird and it's messed up to do it. So I haven't done it yet
WW_gMf1B2sg,Rlly emotional apart from the last one like y would u want a scar tattoed on you anyone else agree ?
WW_gMf1B2sg,When they say people with Tattoo are bad but what is worse is where  they put theyre mind  into and judge a person a good person. Tattoo is not a bad thing spread this Word plsss
WW_gMf1B2sg,"Okay so why does the lady say ""I wanna get a replica of my grandsons blah blah on side of my head"" but when they show the end results it's a totally different lady and kid? What's up with that?"
WW_gMf1B2sg,Kinda stuff that gives you that warm fuzzy feeling and a tear in the eye
WW_gMf1B2sg,I'm absolutely bawling
WW_gMf1B2sg,dad af
WW_gMf1B2sg,U just have to give props to everyone
WW_gMf1B2sg,"10:53 ""Brave little kids"" made me just break down in tears"
WW_gMf1B2sg,I have diabetes and a pump like the diabetic I'm telling my mom that she should get it done
WW_gMf1B2sg,The intro thumbnail looks like a Mumford and Suns cover band from 2087
WW_gMf1B2sg,I'm not crying... you're crying
WW_gMf1B2sg,My son is obese so i want a bag of potato chips tattooed on my stomach
WW_gMf1B2sg,I wish one day @Ink Master invited me to tatto my body full back body. cause that was my dream. but i dont have enough money to
WW_gMf1B2sg,Okaaay i'll just cry for 13 minutes thanks.
WW_gMf1B2sg,I'm crying
WW_gMf1B2sg,O my.. my eyes are sweating
WW_gMf1B2sg,Um... might be wrong show but.... Corey Taylor?
WW_gMf1B2sg,My respects brave kids awesome job my son is 3 years old was born with autism got me In tears
WW_gMf1B2sg,Damm the 1st one ..hit me hard..brought tears to my eyes..R.I.P TO ALL THE FALLEN ANGELS..
WW_gMf1B2sg,Are they on the midway???!!??
WW_gMf1B2sg,"""I did chemo, I can do this"" made my heart shutter"
WW_gMf1B2sg,That's sweet ;-;
WW_gMf1B2sg,"ah good, we're all crying together."
